Steps,Avg. Return,WinRate
2000000,373.6348942000002,0
4000000,513.8786198000001,0
6000000,642.4310246000002,0
8000000,681.476783,0
10000000,765.2191165,0
12000000,840.8856260999996,0
14000000,1019.2419559999987,0
16000000,1062.643730299999,0
18000000,1106.8233365999988,0
20000000,1210.2875900999989,0
22000000,1281.3384861999982,0
24000000,1301.4587807999974,0
26000000,1498.0830456999993,0
28000000,1703.1414186000004,0
30000000,1628.7551296999998,0
32000000,1722.5730602000006,0
34000000,2101.0252586000024,0
36000000,2465.2845012000016,0
38000000,2589.5856436000026,0
40000000,2639.788626000003,0
